ID,Start,Completion,Email,Name,First Name,Last Name,RPE,Duration,Sleep,Fatigue,Stress,Soreness,Mood,Diet,Injuries,Full Name,Sport,Year,,,
1,,04/01/22,,,a,1,13,135,7,5,2,5,3,3,,a 1,Baseball,Freshman,,,
,,04/01/22,,,aa,2,7,30,5,4,5,4,5,4,,aa 2,Table Tennis,Freshman,,,
,,04/01/22,,,b,3,17,90,5,2,2,4,1,2,,b 3,Basketball,Junior,,,
,,04/01/22,,,bb,4,16,30,9,4,1,1,5,3,,bb 4,Basketball,Freshman,,,
,,04/01/22,,,c,5,11,30,10,3,2,5,1,1,,c 5,Table Tennis,Junior,,,
,,04/01/22,,,cc,6,19,135,7,2,5,3,2,2,,cc 6,Volleyball,Senior,,,
,,04/01/22,,,d,7,20,135,3,0,1,5,1,2,,d 7,Softball,Sophmore,,,
,,04/01/22,,,dd,8,16,120,8,4,3,4,1,2,,dd 8,Badminton,Senior,,,
,,04/01/22,,,e,9,15,120,6,3,1,1,1,4,,e 9,Softball,Freshman,,,
,,04/01/22,,,ee,10,12,45,4,1,3,5,4,2,,ee 10,Softball,Freshman,,,
,,04/01/22,,,f,11,20,90,8,2,0,4,5,3,,f 11,Baseball,Sophmore,,,
,,04/01/22,,,ff,12,18,135,9,3,0,2,5,5,,ff 12,Track & Field,Senior,,,
,,04/01/22,,,g,13,19,30,5,0,5,1,5,4,,g 13,Baseball,Junior,,,
,,04/01/22,,,gg,14,20,150,8,4,2,1,4,5,,gg 14,Tennis,Junior,,,
,,04/01/22,,,h,15,12,45,6,2,0,5,3,3,,h 15,Basketball,Sophmore,,,
,,04/01/22,,,hh,16,7.5,105,4,4,2,3,5,3,,hh 16,Badminton,Freshman,,,
,,04/01/22,,,i,17,10,105,4,0,2,2,3,3,,i 17,Baseball,Sophmore,,,
,,04/01/22,,,ii,18,12,135,9,1,0,0,1,5,,ii 18,Rugby,Junior,,,
,,04/01/22,,,j,19,17,90,6,5,2,0,4,4,,j 19,Baseball,Freshman,,,
,,04/01/22,,,jj,20,11,135,7,1,3,1,1,5,,jj 20,Cross Country,Freshman,,,
,,04/01/22,,,k,21,8,180,4,0,5,3,4,4,,k 21,Baseball,Junior,,,
,,04/01/22,,,kk,22,14,30,4,2,1,0,4,4,,kk 22,Volleyball,Freshman,,,
,,04/01/22,,,l,23,12,165,6,1,1,0,2,2,,l 23,Tennis,Junior,,,
,,04/01/22,,,ll,24,7,60,10,4,1,0,3,3,,ll 24,Volleyball,Junior,,,
,,04/01/22,,,m,25,13,150,4,2,5,5,2,5,,m 25,Soccer,Freshman,,,
,,04/01/22,,,mm,26,11,60,4,3,5,1,4,3,,mm 26,Table Tennis,Freshman,,,
,,04/01/22,,,n,27,8,60,10,1,2,5,3,3,,n 27,Swimming,Junior,,,
,,04/01/22,,,nn,28,7.5,150,4,2,4,5,2,2,,nn 28,Cross Country,Sophmore,,,
,,04/01/22,,,o,29,8,30,8,5,5,5,5,1,,o 29,Volleyball,Freshman,,,
,,04/01/22,,,oo,30,13,75,8,0,1,4,4,3,,oo 30,Track & Field,Sophmore,,,
,,04/01/22,,,p,31,10,105,5,0,2,4,2,3,,p 31,Volleyball,Senior,,,
,,04/01/22,,,pp,32,12,75,7,2,0,0,3,2,,pp 32,Table Tennis,Freshman,,,
,,04/01/22,,,q,33,19,90,6,3,4,2,4,2,,q 33,Rugby,Junior,,,
,,04/01/22,,,qq,34,13,90,9,0,3,4,4,3,,qq 34,Baseball,Sophmore,,,
,,04/01/22,,,r,35,13,150,3,4,1,2,1,3,,r 35,Badminton,Junior,,,
,,04/01/22,,,rr,36,18,90,9,2,3,0,1,1,,rr 36,Cross Country,Freshman,,,
,,04/01/22,,,s,37,10,75,8,0,2,1,5,2,,s 37,Table Tennis,Junior,,,
,,04/01/22,,,ss,38,10,90,3,2,3,0,1,3,,ss 38,Cross Country,Junior,,,
,,04/01/22,,,t,39,11,45,3,1,4,4,4,4,,t 39,Swimming,Senior,,,
,,04/01/22,,,tt,40,17,150,6,0,4,5,3,4,,tt 40,Volleyball,Sophmore,,,
,,04/01/22,,,u,41,18,30,6,5,3,1,3,4,,u 41,Track & Field,Sophmore,,,
,,04/01/22,,,uu,42,16,180,3,4,4,1,3,3,,uu 42,Tennis,Senior,,,
,,04/01/22,,,v,43,20,135,6,2,4,4,4,1,,v 43,Basketball,Junior,,,
,,04/01/22,,,vv,44,8,30,3,0,0,5,3,5,,vv 44,Table Tennis,Senior,,,
,,04/01/22,,,w,45,13,150,7,1,4,1,4,4,,w 45,Softball,Senior,,,
,,04/01/22,,,ww,46,14,135,10,4,2,4,4,2,,ww 46,Softball,Sophmore,,,
,,04/01/22,,,x,47,20,135,5,3,2,3,4,4,,x 47,Tennis,Senior,,,
,,04/01/22,,,xx,48,13,150,5,2,4,2,4,5,,xx 48,Rugby,Sophmore,,,
,,04/01/22,,,y,49,10,30,10,4,0,2,1,3,,y 49,Rugby,Junior,,,
,,04/01/22,,,yy,50,20,30,4,5,0,0,3,3,,yy 50,Rugby,Sophmore,,,
,,04/02/22,,,a,1,12,180,7,1,1,1,2,2,,a 1,Baseball,Freshman,,,
,,04/02/22,,,aa,2,9,150,5,0,1,3,2,3,,aa 2,Table Tennis,Freshman,,,
,,04/02/22,,,b,3,9,180,10,0,4,1,1,1,,b 3,Basketball,Junior,,,
,,04/02/22,,,bb,4,16,30,9,0,2,0,2,1,,bb 4,Basketball,Freshman,,,
,,04/02/22,,,c,5,13,150,4,1,0,2,4,4,,c 5,Table Tennis,Junior,,,
,,04/02/22,,,cc,6,12,45,9,0,2,5,5,1,,cc 6,Volleyball,Senior,,,
,,04/02/22,,,d,7,7,30,6,0,1,4,3,2,,d 7,Softball,Sophmore,,,
,,04/02/22,,,dd,8,6,75,10,3,2,1,2,1,,dd 8,Badminton,Senior,,,
,,04/02/22,,,e,9,14,75,9,3,0,4,5,1,,e 9,Softball,Freshman,,,
,,04/02/22,,,ee,10,17,180,5,2,2,2,5,1,,ee 10,Softball,Freshman,,,
,,04/02/22,,,f,11,11,180,4,3,2,0,3,5,,f 11,Baseball,Sophmore,,,
,,04/02/22,,,ff,12,17,60,7,1,0,2,3,4,,ff 12,Track & Field,Senior,,,
,,04/02/22,,,g,13,16,120,6,0,3,3,1,4,,g 13,Baseball,Junior,,,
,,04/02/22,,,gg,14,18,30,10,3,3,3,2,4,,gg 14,Tennis,Junior,,,
,,04/02/22,,,h,15,16,30,3,4,2,3,5,1,,h 15,Basketball,Sophmore,,,
,,04/02/22,,,hh,16,16,45,10,2,1,2,4,5,,hh 16,Badminton,Freshman,,,
,,04/02/22,,,i,17,19,105,6,3,1,4,1,4,,i 17,Baseball,Sophmore,,,
,,04/02/22,,,ii,18,19,30,7,2,5,4,3,2,,ii 18,Rugby,Junior,,,
,,04/02/22,,,j,19,6,30,8,2,4,1,4,1,,j 19,Baseball,Freshman,,,
,,04/02/22,,,jj,20,20,150,3,0,5,4,1,2,,jj 20,Cross Country,Freshman,,,
,,04/02/22,,,k,21,10,105,7,0,1,1,2,2,,k 21,Baseball,Junior,,,
,,04/02/22,,,kk,22,20,165,5,3,1,5,1,1,,kk 22,Volleyball,Freshman,,,
,,04/02/22,,,l,23,17,90,9,3,1,4,5,3,,l 23,Tennis,Junior,,,
,,04/02/22,,,ll,24,12,90,4,2,2,3,1,4,,ll 24,Volleyball,Junior,,,
,,04/02/22,,,m,25,19,165,10,5,3,0,5,3,,m 25,Soccer,Freshman,,,
